the_geom,cp,nombre,codigoine,jurisdicci,cartodb_id,created_at,updated_at
0101000020E61000006E93F9237127E7BF24AFBAFA0C0B4340,3170,Rojales,3113,3113,112,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000414AD33229DBE7BFFA71298B020B4340,3179,Formentera del Segura,3070,3070,113,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000022E8A49E064AD7BFC5FA45AE7B5D4340,3812,Millena,3086,3086,114,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000001D804D07947DECBF9A6569CF9D134340,3348,Granja de Rocamora,3074,3074,115,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000FE27D0E9FB02D9BF97D5D7F951634340,3827,Benimarfull,3038,3038,116,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000F0495335F00AC53FA28B7C8FC3644340,3730,J�vea/X�bia,3082,3082,117,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000990CC173D2D8BA3F879A8B57495D4340,3725,Teulada,3128,3128,118,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000068BC349BFDA8F0BF151A3A4667334340,3650,El Pin�s/Pinoso,3105,3105,119,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000A869A701B95FD9BF95828302AD364340,3560,El Campello,3050,3050,120,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000002BC0E1854AC6D9BF05EB9DF5BF654340,3841,Alcocer de Planes,3007,3007,121,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000005481311C9640EABF165798AA93444340,3630,Sax,3123,3123,122,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000093A3CA5B923AE9BFD9AB1823FFFC4240,3193,San Miguel de Salinas,3120,3120,123,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000CB01AEE44F9C943F6C86B253AB694340,3760,Ondara,3095,3095,124,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000FEC7AD4DAF33D5BF40F70A0A5B564340,3814,Alcoleja,3008,3008,125,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000073E3C4B47D89DEBF7435B8C72E594340,3801,Alcoy/Alcoi,3009,3009,126,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000007A45F02425F5BEBFCA29C54799534340,3510,Callosa d'En Sarri�,3048,3048,127,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000047636A8C31E0B1BF80629B994D054440,12190,Borriol,12031,12031,128,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000004EA2C4940E80D4BF334C9167ECEC4340,12499,Ch�var,12056,12056,129,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000001EBA7D16FA2DDFBF66E6F1FA7EEC4340,12400,Segorbe,12104,12104,130,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000529BD55F2F56AE3F788119F6A0064440,12560,Benicasim/Benic�ssim,12028,12028,131,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000006C1DB792D896A73F5796022ECB134440,12180,Cabanes,12033,12033,132,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000002FFC0C7A75BBCABF8035EAF162234440,12134,Benafigos,12025,12025,133,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000940CA18939D9C5BF7D1DD3BBA11B4440,12132,Atzeneta del Maestrat,12001,12001,134,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000DA8CC9ED46E7B13FDD153F779E214440,12184,La Torre d'en Dom�nec,12120,12120,135,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000005747DBB11C4B23F5A8F5FD1A01D4440,12183,Vilanova d'Alcolea,12132,12132,136,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000833F3B9B64B793BFD86A4AB372224440,12182,Sierra Engarcer�n,12105,12105,137,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000BA1CE972A479B4BF12E226C9DB294440,12161,La Torre d'En Besora,12119,12119,138,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000CA04573BA09BCC3FCA3B2041DE264440,12570,Alcal� de Xivert,12004,12004,139,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000F3146B4F7AA0BE3FC1797093C2274440,12185,Les Coves de Vinrom�,12050,12050,140,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000A5754CE89ADA993F6DDED5EEBB2D4440,12140,Alboc�sser,12003,12003,141,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000E5966E1E621AB43F9258F8F72E364440,12179,T�rig,12111,12111,142,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000002C3B4E19DC6FD33F116332B1942D4440,12597,Santa Magdalena de Pulpis,12102,12102,143,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000364678A40D68C63F7AB8D7EF64354440,12186,La Salzadella,12098,12098,144,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000050909747BE92D93FB31141A65F2E4440,12598,Pen�scola/Pe��scola,12089,12089,145,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000D4064159DA3CDB3FAC77E5A46E354440,12580,Benicarl�,12027,12027,146,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000565597F12678D0BF231A11E816374440,12150,Villafranca del Cid/Vilafranca,12129,12129,147,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000FE9BD813F9D1DDBF0638AC5F1FEB4340,12412,Geldo,12067,12067,148,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000C2A8677F1C68E0BFBC0A718BF3EC4340,12410,Altura,12012,12012,149,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000DC50DA0CC27BDBBF7798AF0855E84340,12480,Soneja,12106,12106,150,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000EED05CB4DF1DC5BF125E6791172B4440,12163,Culla,12051,12051,151,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000001F3D562DC0E4C0BFD48EA38A6C3A4440,12165,Ares del Maestrat,12014,12014,152,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E61000003B3F8238FC23D03F72A954D38C414440,12340,La Jana,12070,12070,153,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000D0158C4BB542C8BF2286BD2D18404440,12159,Castellfort,12038,12038,154,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E610000047160CD0093AD53FC2A54B1C2A414440,12320,Sant Jordi/San Jorge,12099,12099,155,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000206C623B5F96D23FF51AF53622434440,12330,Traiguera,12121,12121,156,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000FEAF4A7843BFD1BFEF2648113E4E4440,12312,La Mata de Morella,12075,12075,157,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000654C8B21B887A1BF44EEF95DF1164440,12194,Vall d'Alba,12124,12124,158,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000FEF330905B96D3BF1E1F99B363F94340,12221,Tales,12109,12109,159,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000E5DC232127FAC63F37271E55713B4440,12170,Sant Mateu,12100,12100,160,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
0101000020E6100000A637A7ED4EFB963F4CAE13116E3C4440,12513,Cat�,12042,12042,161,2014-08-29 16:50:01.111079+00,2014-08-29 16:50:01.111079+00
